Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Erythrura gouldiae,Gouldian Finch,Endangered,Present,,"NT, QLD, WA",Animalia,Chordata,Aves,Passeriformes,Estrildidae,
Euastacus bindal,"freshwater crayfish, spiny crayfish",Critically Endangered,Present,,QLD,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",Endangered,Present,,"SA, VIC",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Euastacus dharawalus,Fitzroy Falls Spiny Crayfish,Critically Endangered,Endemic,,NSW,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Eubalaena australis,Southern Right Whale,Endangered,Present,,"AET, ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenidae,
Eucalyptus absita,Badgingarra Box,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus aggregata,Black Gum,Vulnerable,Present,,"NSW, VIC",Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus alligatrix subsp. limaensis,Lima Stringybark,Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus alligatrix subsp. miscella,a stringybark,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus aquatica,"Mountain Swamp Gum, Broad-leaved Sallee, Broad-leaved Sally",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus argophloia,"Queensland White Gum, Queensland Western White Gum, Lapunyah, Scrub Gum, White Gum",Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus argutifolia,"Yanchep Mallee, Wabling Hill Mallee",Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus articulata,Ponton Creek Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus beaniana,Bean's Ironbark,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus beardiana,Beard's Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus benthamii,"Camden White Gum, Nepean River Gum",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus brevipes,Mukinbudin Mallee,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus burdettiana,Burdett Gum,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus cadens,Warby Range Swamp Gum,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus caleyi subsp. ovendenii,Ovenden's Ironbark,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus camfieldii,Camfield's Stringybark,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus canobolensis,"Silver-leaf Candlebark, Mt Canobolas Candlebark",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus ceracea,Seppelt Range Gum,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus conglomerata,Swamp Stringybark,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus copulans,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus coronata,Crowned Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus crenulata,"Silver Gum, Buxton Gum",Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus crispata,Yandanooka Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus crucis subsp. crucis,Silver Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus crucis subsp. praecipua,Paynes Find Mallee,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus cuprea,Mallee Box,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus dolorosa,"Dandaragan Mallee, Mount Misery Mallee",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus glaucina,Slaty Red Gum,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus gunnii subsp. divaricata,Miena Cider Gum,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus hallii,Goodwood Gum,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus imlayensis,"Imlay Mallee, Mount Imlay Mallee",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus impensa,Eneabba Mallee,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus infera,Durikai Mallee,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus insularis,Twin Peak Island Mallee,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus johnsoniana,Johnson's Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus kabiana,Mount Beerwah Mallee,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus kartzoffiana,Araluen Gum,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus langleyi,Albatross Mallee,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus largeana,Craven Grey Box,Endangered,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus lateritica,Laterite Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus leprophloia,"Scaly Butt Mallee, Scaly-butt Mallee",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus macarthurii,"Camden Woollybutt, Paddys River Box",Endangered,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus mckieana,McKie's Stringybark,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus merrickiae,Goblet Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus mooreana,"Mountain White Gum,  King Leopold Range Mallee, Moore's Gum",Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus morrisbyi,"Morrisby's Gum, Morrisbys Gum",Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus nicholii,"Narrow-leaved Peppermint, Narrow-leaved Black Peppermint",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus nicholii,"Narrow-leaved Peppermint, Narrow-leaved Black Peppermint",Vulnerable,Present,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus pachycalyx subsp. banyabba,Banyabba Shiny-barked Gum,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus paedoglauca,Mt Stuart Ironbark,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus paludicola,"Mount Compass Swamp Gum, Fleurieu Swamp Gum, Marsh Gum",Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus parramattensis subsp. decadens,"Earp's Gum, Earp's Dirty Gum",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus parvula,Small-leaved Gum,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus platydisca,Jimberlana Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus pruiniramis,"Midlands Gum, Jingymia Gum",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus pulverulenta,"Silver-leaved Mountain Gum, Silver-leaved Gum",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus pumila,Pokolbin Mallee,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus raveretiana,Black Ironbox,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus recta,Silver Mallet,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus recurva,Mongarlowe Mallee,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus rhodantha,Rose Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus robertsonii subsp. hemisphaerica,Robertson's Peppermint,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus rubida subsp. barbigerorum,Blackbutt Candlebark,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus scoparia,Wallangarra White Gum,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
"Eucalyptus sp. Cattai (Gregson s.n., 28 Aug 1954)",,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus sp. Howes Swamp Creek (M.Doherty 26),,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus steedmanii,Steedmans Gum,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus strzeleckii,Strzelecki Gum,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus suberea,"Cork Mallee, Mount Lesueur Mallee",Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus synandra,Jingymia Mallee,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus tetrapleura,Square-fruited Ironbark,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus virens,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus x balanites,"Cadda Road Mallee, Cadda Mallee",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucalyptus x phylacis,Meelup Mallee,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae,
Eucryphia wilkiei,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Eucryphiaceae,
Eulamprus leuraensis,Blue Mountains Water Skink,Endangered,Endemic,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Eulamprus tympanum marnieae,"Corangamite Water Skink, Dreeite Water Skink",Endangered,Endemic,,VIC,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Euphorbia carissoides,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Euphorbia norfolkiana,Norfolk Island Euphorbia,Critically Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Euphorbia obliqua,a herb,Vulnerable,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Euphorbia obliqua,a herb,Vulnerable,Present,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Euphrasia amphisysepala,Shiny Cliff Eyebright,Vulnerable,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia arguta,,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia bella,"Lamington Eyebright, Mt. Merino Eyebright",Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia bowdeniae,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia collina subsp. muelleri,"Purple Eyebright, Mueller's Eyebright",Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia collina subsp. muelleri,"Purple Eyebright, Mueller's Eyebright",Endangered,Present,,"NSW, SA",Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia collina subsp. osbornii,Osborn's Eyebright,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia crassiuscula subsp. glandulifera,Thick Eyebright,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia eichleri,Bogong Eyebright,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia fragosa,"Shy Eyebright, Southport Eyebright",Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia gibbsiae subsp. psilantherea,Swamp Eyebright,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia phragmostoma,"Buftons Eyebright, Hairy Cliff Eyebright",Vulnerable,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia ruptura,subshrub,Extinct,Extinct,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia semipicta,Peninsula Eyebright,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),"Masked Eyebright, Masked Cliff Eyebright",Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Falco hypoleucos,Grey Falcon,Vulnerable,Present,,"ACT, NSW, NT, QLD, SA, VIC, WA",Animalia,Chordata,Aves,Falconiformes,Falconidae,
Falcunculus frontatus whitei,"Crested Shrike-tit (northern), Northern Shrike-tit",Vulnerable,Present,,"NT, WA",Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,
Fimbristylis adjuncta,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Floydia praealta,"Ball Nut, Possum Nut, Big Nut, Beefwood",Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Fontainea australis,Southern Fontainea,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Fontainea oraria,Coastal Fontainea,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Fontainea rostrata,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Fontainea venosa,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Frankenia conferta,Silky Frankenia,Endangered,Extinct*,,WA,Plantae,Magnoliophyta,Magnoliopsida,Violales,Frankeniaceae,
Frankenia decurrens,Decurrent-leaved Frankenia,Extinct,Extinct,,WA,Plantae,Magnoliophyta,Magnoliopsida,Violales,Frankeniaceae,
Frankenia parvula,Short-leaved Frankenia,Endangered,Extinct*,,WA,Plantae,Magnoliophyta,Magnoliopsida,Violales,Frankeniaceae,
Frankenia plicata,,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Violales,Frankeniaceae,
Frankenia plicata,,Endangered,Present,,"NSW, NT, QLD",Plantae,Magnoliophyta,Magnoliopsida,Violales,Frankeniaceae,
Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",Endangered,Present,Christmas Island,"AET, CI, OCE",Animalia,Chordata,Aves,Pelecaniformes,Fregatidae,
Fregetta grallaria grallaria,"White-bellied Storm-Petrel (Tasman Sea), White-bellied Storm-Petrel (Australasian)",Vulnerable,Present,,"AET, ANT, CSI, HI, NI, NSW, OCE, QLD, TAS, TER, VIC",Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,
Furina dunmalli,Dunmall's Snake,Vulnerable,Present,,"NSW, QLD",Animalia,Chordata,Reptilia,Squamata,Elapidae,
Galaxias auratus,Golden Galaxias,Endangered,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias fontanus,Swan Galaxias,Endangered,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias fuscus,Barred Galaxias,Endangered,Endemic,,VIC,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias johnstoni,Clarence Galaxias,Endangered,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias parvus,Swamp Galaxias,Vulnerable,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias pedderensis,Pedder Galaxias,Extinct in the wild,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias rostratus,"Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow",Critically Endangered,Present,,"NSW, SA, VIC",Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias tanycephalus,Saddled Galaxias,Vulnerable,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxias truttaceus (Western Australian population),Western Trout Minnow,Endangered,Endemic,,WA,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxiella nigrostriata,"Blackstriped Dwarf Galaxias, Black-stripe Minnow",Endangered,Endemic,,WA,Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galaxiella pusilla,"Eastern Dwarf Galaxias, Dwarf Galaxias",Vulnerable,Present,,"SA, TAS, VIC",Animalia,Chordata,Actinopterygii,Salmoniformes,Galaxiidae,
Galeorhinus galeus,"School Shark, Eastern School Shark, Snapper Shark, Tope, Soupfin Shark",Conservation Dependent,Present,,"CSI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Chondrichthyes,Chimaeiformes,Triakidae,
Galium antarcticum,Subantarctic Bedstraw,Critically Endangered,Present,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,
Gardenia actinocarpa,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,
Gardenia psidioides,Hann Gardenia,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,
Gastrolobium appressum,Scale-leaf Poison,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium argyrotrichum,Metricup Pea,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium diabolophyllum,Bodallin Poison,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium glaucum,"Spike Poison, Wongan Poison",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium graniticum,Granite Poison,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium hamulosum,Hook-point Poison,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium humile,,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium lehmannii,Cranbrook Pea,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium luteifolium,Yellow-leafed Gastrolobium,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium modestum,Broad-leaved Gastrolobium,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium papilio,Butterfly-leaved Gastrolobium,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gastrolobium vestitum,,Critically Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Gaultheria viridicarpa,Green Waxberry,Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,
Geniostoma huttonii,,Endangered,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Loganiaceae,
Genoplesium baueri,"Yellow Gnat-orchid, Bauer's Midge Orchid, Brittle Midge Orchiid",Endangered,Present,,"NSW, TER",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Genoplesium plumosum,"Plumed Midge-orchid, Tallong Midge Orchid",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
